a1,a2,a3,g1,g2,g3,LABEL
6320,-15024,-3600,-483,-249,282,HEALTHY
6232,-14996,-3740,-404,-278,309,HEALTHY
6200,-14992,-3816,-370,-284,259,HEALTHY
6244,-14916,-3796,-374,-307,244,HEALTHY
6188,-14972,-3620,-372,-338,254,HEALTHY
6184,-15040,-3664,-378,-345,260,HEALTHY
6300,-15076,-3708,-332,-316,227,HEALTHY
6268,-14968,-3544,-319,-254,236,HEALTHY
6232,-15096,-3664,-363,-259,249,HEALTHY
6344,-15056,-3544,-404,-234,268,HEALTHY
6204,-15096,-3620,-401,-201,297,HEALTHY
6312,-15008,-3612,-404,-223,225,HEALTHY
6204,-15036,-3668,-373,-271,155,HEALTHY
6300,-14968,-3740,-327,-255,195,HEALTHY
6104,-15044,-3576,-377,-223,244,HEALTHY
6272,-15124,-3588,-387,-211,262,HEALTHY
6248,-15024,-3456,-390,-204,245,HEALTHY
6108,-15184,-3660,-389,-262,239,HEALTHY
6144,-15012,-3744,-399,-261,191,HEALTHY
6216,-14936,-3768,-344,-285,191,HEALTHY
6260,-14952,-3752,-373,-221,215,HEALTHY
6224,-15016,-3744,-395,-260,195,HEALTHY
6220,-15096,-3648,-307,-329,92,HEALTHY
6332,-15060,-3768,-188,-301,38,HEALTHY
6344,-15080,-3428,-286,-254,124,HEALTHY
6276,-14996,-3452,-400,-198,296,HEALTHY
6184,-15092,-3752,-422,-219,316,HEALTHY
6044,-15236,-3408,-226,-356,189,HEALTHY
6208,-15064,-3684,-313,-347,113,HEALTHY
6308,-15024,-3608,-340,-252,143,HEALTHY
6296,-15064,-3756,-330,-261,224,HEALTHY
6296,-15080,-3432,-286,-254,225,HEALTHY
6236,-15108,-3608,-296,-255,209,HEALTHY
6100,-15052,-3488,-379,-246,173,HEALTHY
6140,-15072,-3576,-386,-286,227,HEALTHY
6184,-15164,-3640,-344,-333,174,HEALTHY
6204,-15116,-3680,-312,-330,130,HEALTHY
6260,-15068,-3484,-350,-307,184,HEALTHY
6320,-15024,-3612,-431,-331,229,HEALTHY
6448,-15012,-3616,-406,-306,234,HEALTHY
6228,-14996,-3552,-398,-309,260,HEALTHY
6196,-14888,-3528,-313,-376,193,HEALTHY
6396,-14980,-3764,-325,-336,183,HEALTHY
6420,-15128,-3476,-349,-251,253,HEALTHY
6196,-15272,-3400,-400,-229,183,HEALTHY
6272,-15172,-3516,-489,-176,126,HEALTHY
6184,-15256,-3444,-529,-207,73,HEALTHY
6192,-15052,-3548,-494,-250,97,HEALTHY
6316,-15116,-3460,-712,-14,304,HEALTHY
6300,-15156,-3452,-708,-120,254,HEALTHY
6356,-15180,-3360,-623,-327,-13,HEALTHY
6524,-15104,-3320,-389,-583,-325,HEALTHY
6588,-14876,-3428,-189,-558,-468,HEALTHY
6720,-14796,-3728,-232,-269,-317,HEALTHY
5848,-15484,-3996,-106,-107,-152,HEALTHY
6304,-14984,-3996,97,-86,-219,HEALTHY
6400,-14956,-3924,-116,239,-37,HEALTHY
5968,-15036,-3868,-313,327,28,HEALTHY
5808,-14976,-4156,-359,310,29,HEALTHY
5824,-15064,-4056,-178,302,-82,HEALTHY
5896,-14880,-4144,98,144,-49,HEALTHY
6028,-14860,-3808,224,-74,-111,HEALTHY
6332,-14856,-3844,222,-273,-56,HEALTHY
6376,-14948,-3708,229,-316,-45,HEALTHY
6512,-14972,-3360,384,-359,-121,HEALTHY
7028,-15012,-3240,286,-351,22,HEALTHY
6524,-14924,-2960,-48,-314,161,HEALTHY
6480,-15128,-3164,-165,-333,148,HEALTHY
6512,-15064,-3164,-282,-356,4,HEALTHY
